,lower TSLA,upper TSLA
2516,390.98082088956227,415.5132241550728
2517,385.2596831024278,419.8666869829129
2518,381.24612279520807,423.73727924496507
2519,377.70145429027633,426.7131069435657
2520,374.80267344578766,429.95869732649425
2521,372.0938858305235,432.62935981359817
2522,369.63139082321953,435.11457356772934
2523,367.3249527344741,437.3991684926116
2524,365.1749444551007,439.56999089111446
2525,363.1339618914059,441.60430376664
2526,361.1969541815111,443.5430843003533
2527,359.34583836994585,445.3928463024616
2528,357.5720594838136,447.16774923533745
2529,355.865289082772,448.87396073693
2530,354.21925045119923,450.52018069363197
2531,352.62754594244814,452.1117959754539
2532,351.085279951665,453.65412784001256
2533,349.5880196267044,455.1513499757017
2534,348.13209698620915,456.60728842098115
2535,346.7142387161378,458.0251399626524
2536,345.3316192074849,459.40776357760797
2537,343.9817281448533,460.7576521459611
2538,342.66234971309757,462.0770317797827
2539,341.3715018004079,463.3678791673952
2540,340.10741087192747,464.6319703716941
2541,338.86847848636796,465.8709025945948
2542,337.65325999885397,467.0861211674917
2543,336.46044355244413,468.27893757413034
2544,335.28883416770753,469.4505469784273
2545,334.1373393673466,470.6020417679424
2546,333.0049574222965,471.7344237188758
2547,331.89076705964226,472.8486140786258
2548,330.79391873730674,473.9454624023758
2549,329.7136270388306,475.02575410010775
2550,328.64916410570163,476.0902170336393
2551,327.5998538941062,477.13952724502826
2552,326.56506715634225,478.1743139828943
2553,325.5442170261082,479.1951641130762
2554,324.5367551275112,480.20262601170094
2555,323.5421681305063,481.1972130086914
2556,322.5599746934124,482.17940644579255
2557,321.5897227397567,483.1496583994446
2558,320.6309870262794,484.10839411292386
2559,319.68336696469305,485.0560141745092
2560,318.7464846656894,485.9928964735134
2561,317.8199831780288,486.9193979611738
2562,316.9035248994778,487.8358562397249
2563,315.9967901395157,488.74259099968685
2564,315.0994758164683,489.63990532273425
2565,314.2112942740106,490.528086865192
2566,313.3319722039396,491.407408935263
2567,312.4612496637811,492.2781314754215
2568,311.59887917922185,493.1405019599807
2569,310.7446249225835,493.99475621661907
2570,309.8982619596096,494.84111917959297
2571,309.05957555774813,495.67980558145445
2572,308.2283605499031,496.5110205892995
2573,307.40442074831236,497.3349603908902
2574,306.5875684038094,498.15181273539315
2575,305.7776237062447,498.9617574329579
2576,304.9744143223026,499.76496681689997
2577,304.17777496734766,500.5616061718549
2578,303.3875470082873,501.3518341309153
2579,302.6035780947482,502.1358030444544
2580,301.8257218161374,502.9136593230652
2581,301.05383738240266,503.6855437567999
2582,300.2877893265187,504.4515918126839
2583,299.5274472269216,505.211933912281
2584,298.77268544827837,505.9666956909242
2585,298.0233828991337,506.71599824006887
2586,297.2794228051106,507.459958334092
2587,296.5406924964605,508.19868864274207
2588,295.8070832088704,508.9322979303322
2589,295.07848989652757,509.660891242675
2590,294.3548110565349,510.38457008266766
2591,293.6359485638434,511.1034325753592
2592,292.92180751594327,511.8175736232593
2593,292.21229608661764,512.5270850525849
2594,291.50732538811985,513.2320557510827
2595,290.80680934118993,513.9325717980126
2596,290.1106645523714,514.6287165868312
2597,289.41881019813377,515.3205709410688
2598,288.7311679153445,516.0082132238581
2599,288.0476616976708,516.6917194415317
2600,287.36821779752336,517.3711633416792
2601,286.69276463318363,518.046616506019
2602,286.0212327007841,518.7181484384184
2603,285.35355449083477,519.3858266483678
2604,284.68966440901244,520.0497167301901
2605,284.0294987009494,520.7098824382532
2606,283.3729953807776,521.366385758425
2607,282.72009416320174,522.0192869760008
2608,282.0707363988905,522.6686447403121
2609,281.4248650129895,523.314516126213
2610,280.78242444657457,523.956956692628
2611,280.1433606008741,524.5960205383285
2612,279.507620784103,525.2317603550996
2613,278.87515366076013,525.8642274784424
2614,278.2459092032507,526.4934719359519
2615,277.6198386457049,527.1195424934976
2616,276.99689443987245,527.7424866993301
2617,276.3770302129796,528.3623509262229
2618,275.7602007274433,528.9791804117592
2619,275.1463618423432,529.5930192968594
2620,274.5354704765587,530.2039106626439
2621,273.92748457348443,530.8118965657181
2622,273.32236306724116,531.4170180719614
2623,272.7200658503069,532.0193152888957
2624,272.1205537424946,532.618827396708
2625,271.5237884612096,533.215592677993
2626,270.9297325929217,533.8096485462809
2627,270.3383495657936,534.401031573409
2628,269.74960362340664,534.9897775157959
2629,269.1634597995329,535.5759213396697
2630,268.5798838939013,536.1594972453013
2631,267.99884244891086,536.7405386902917
2632,267.42030272724713,537.3190784119554
2633,266.8442326903578,537.8951484488448
2634,266.27060097774887,538.4687801614537
2635,265.6993768870625,539.0400042521401
2636,265.13053035490157,539.608850784301
2637,264.5640319383662,540.1753492008363
2638,263.99985279727116,540.7395283419314
2639,263.4379646770125,541.3014164621901
2640,262.87833989205603,541.8610412471465
2641,262.32095131001927,542.4184298291833
2642,261.76577233632133,542.9736088028812
2643,261.2127768993763,543.5266042398263
2644,260.6619394363065,544.0774417028961
2645,260.11323487915365,544.6261462600489
2646,259.56663864156735,545.1727424976352
2647,259.02212660594955,545.717254533253
2648,258.4796751110376,546.259706028165
2649,257.9392609399066,546.800120199296
2650,257.4008613083748,547.3385198308279
2651,256.864453853794,547.8749272854086
2652,256.3300166242121,548.4093645149906
2653,255.79752806788997,548.9418530713126
2654,255.26696702316065,549.4724141160419
2655,254.738312708616,550.0010684305865
2656,254.211544713609,550.5278364255936
2657,253.68664298905847,551.0527381501441
2658,253.16358783854528,551.5757933006573
2659,252.64235990968834,552.0970212295142
2660,252.12294018578973,552.6164409534128
2661,251.60530997773918,553.1340711614635
2662,251.0894509161676,553.649930223035
2663,250.5753449438409,554.1640361953616
2664,250.06297430828445,554.6764068309182
2665,249.5523215546305,555.1870595845721
2666,249.0433695186799,555.6960116205227
2667,248.53610132017016,556.2032798190324
2668,248.03050035624307,556.7088807829596
2669,247.52655029510402,557.2128308440986
2670,247.0242350698664,557.7151460693362
2671,246.52353887257482,558.2158422666278
2672,246.02444614840036,558.7149349908022
2673,245.5269415900022,559.2124395492003
2674,245.0310101320496,559.708371007153
2675,244.536636945899,560.2027441933036
2676,244.04380743442042,560.6955737047822
2677,243.55250722696852,561.1868739122341
2678,243.06272217449342,561.6766589647092
2679,242.57443834478588,562.1649427944167
2680,242.08764201785348,562.6517391213491
2681,241.60231968142224,563.1370614577803
2682,241.11845802656057,563.620923112642
2683,240.63604394342067,564.1033371957819
2684,240.1550645170941,564.5843166221084
2685,239.67550702357772,565.0638741156249
2686,239.19735892584595,565.5420222133566
2687,238.72060787002684,566.0187732691758
2688,238.24524168167773,566.4941394575249
2689,237.77124836215782,566.9681327770447
2690,237.29861608509452,567.440765054108
2691,236.82733319294059,567.912047946262
2692,236.35738819361916,568.3819929455834
2693,235.88876975725415,568.8506113819484
2694,235.42146671298318,569.3179144262194
2695,234.9554680458505,569.7839130933521
