Model,MAE,RMSE,MAPE
"ARIMA(5, 1, 0)",54.14485727066307,69.90139832279155,17.104549222169364
"SARIMA(1, 1, 1)x(1, 1, 1, 5)",65.20939528270316,81.82810479548472,20.63694306526194
LSTM,14.777904961698798,18.785208738133438,4.217858627420315
