Portfolio,Expected Annual Return,Expected Annual Volatility,Sharpe Ratio
Maximum Sharpe,0.10272737084542619,0.10541173105441788,0.9745345211378237
Minimum Volatility,0.026722673291692735,0.05223469519041062,0.5115885752617266
