Date,Optimized Strategy,Benchmark 60% SPY / 40% BND
2025-01-02,0.9935024186051279,0.9625274548071091
2025-01-03,1.0047881370726333,1.014787657535596
2025-01-06,1.0062458696763938,1.0180308688466022
2025-01-07,0.9965390357551833,0.9886264922864773
2025-01-08,0.9977985616948329,0.9900766401059101
2025-01-10,0.9898282858983027,0.9837294237481129
2025-01-13,0.991863468805811,0.9971539278001749
2025-01-14,0.9910388680592501,0.9873926663411862
2025-01-15,1.0092531107404,1.0421977753538645
2025-01-16,1.006445295060587,1.0203681332491246
2025-01-17,1.0128977788221074,1.0432251921801148
2025-01-21,1.0170500241299494,1.0434785265718705
2025-01-22,1.0155834388120413,1.0325965399121844
2025-01-23,1.0158325066337641,1.0307763917673152
2025-01-24,1.0146177536631449,1.0208741856967556
2025-01-27,1.0107558767598506,1.0008913356347875
2025-01-28,1.0134843360077093,1.0057527134314423
2025-01-29,1.0094508312829191,0.9903217019546282
2025-01-30,1.0148482077594057,1.0095205961232119
2025-01-31,1.0133567881223458,1.0139086929472585
2025-02-03,1.0065534921272337,0.9797246867119166
2025-02-04,1.0117362322470087,0.9954224110289981
2025-02-05,1.012522084669798,0.9756569006962001
2025-02-06,1.0120120930864624,0.9710535924117564
2025-02-07,1.0038792372053333,0.947730459005925
2025-02-10,1.003297618876251,0.9331807744993317
2025-02-11,0.9963709079519188,0.8979764406777286
2025-02-12,0.994754016278092,0.9099568479525836
2025-02-13,1.0072118911012728,0.9453240241165278
2025-02-14,1.0090198300617654,0.945146029493726
2025-02-18,1.0073306990520903,0.9434989227002585
2025-02-19,1.010698384435022,0.954699006035183
2025-02-20,1.0083739328089503,0.9433238955844011
2025-02-21,1.0007385879703738,0.9103589784787504
2025-02-24,0.9979520708266764,0.8969465595532943
2025-02-25,0.9918032357577233,0.8500123685240502
2025-02-26,0.9889853672462423,0.8299723821641635
2025-02-27,0.9802233461540976,0.8095179381769171
2025-02-28,0.9913261079357625,0.833572309941438
2025-03-03,0.9842568884122554,0.8135105840402226
2025-03-04,0.9745949971572987,0.788035721840175
2025-03-05,0.9784687496623624,0.8036943167303345
2025-03-06,0.9670105003449122,0.7709483174805418
2025-03-07,0.9678771098959141,0.7713072163073177
2025-03-10,0.9475326683843126,0.6916994835154008
2025-03-11,0.9463997266912068,0.7051484109864554
2025-03-12,0.9539273868391815,0.7387740773874937
2025-03-13,0.9486820362788229,0.721595257906907
2025-03-14,0.9572707757236668,0.7442870012660004
2025-03-17,0.9559453274751692,0.7251991244764383
2025-03-18,0.9482151548546599,0.6988462852779092
2025-03-19,0.9575513943804435,0.7215244955898568
2025-03-20,0.957038333945085,0.7214241009064104
2025-03-21,0.9616155596062294,0.7443290981213967
2025-03-24,0.975987832818475,0.8029561203946463
2025-03-25,0.9807837519757456,0.8206012178180974
2025-03-26,0.9703973222897431,0.7892057956898968
2025-03-27,0.9697035316648153,0.790229786488888
2025-03-28,0.9632745872364216,0.7672339047959902
2025-03-31,0.9647915405469488,0.7616260751324992
2025-04-01,0.9708097747356874,0.7788851686232521
2025-04-02,0.9773964386486355,0.8057500661116488
2025-04-03,0.9594690851556389,0.7633998529024636
2025-04-04,0.9319318370221733,0.6977963857582543
2025-04-07,0.9225653156921552,0.6865625667241048
2025-04-08,0.910391426996421,0.662078375293279
2025-04-09,0.9628205174629411,0.7800260755900442
2025-04-10,0.9378519187087183,0.7323103209490224
2025-04-11,0.9426460017610662,0.7373802664732921
2025-04-14,0.9487285431321947,0.7403118672654979
2025-04-15,0.9498754848189662,0.7425804302023082
2025-04-16,0.9399515302627378,0.713955648783031
2025-04-17,0.9391244234708154,0.7140438950630008
2025-04-21,0.9236125915692456,0.6826264764061912
2025-04-22,0.9365210139902002,0.7085801525547262
2025-04-23,0.9472599812695314,0.7357864691032149
2025-04-24,0.9600593949463391,0.7574226403080965
2025-04-25,0.9733300553229264,0.804162149970698
2025-04-28,0.9751443418820451,0.8058595568189544
2025-04-29,0.9806460130204275,0.8182917224011825
2025-04-30,0.9771489858035999,0.801827732356989
2025-05-01,0.977268031890204,0.8013044059199869
2025-05-02,0.9814680771063726,0.8175282919331772
2025-05-05,0.9765418616833296,0.8037834106361108
2025-05-06,0.9734663841772724,0.7926470220943777
2025-05-07,0.9761773855431467,0.7954830184722025
2025-05-08,0.9783349580588262,0.8125603877285619
2025-05-09,0.982908737685608,0.8351519508606742
2025-05-12,0.9979667632829835,0.8799943622251652
2025-05-13,1.0046703537813397,0.9083390083097418
2025-05-14,1.007077594055798,0.9310067380015993
2025-05-15,1.010448770375685,0.9250173472338191
2025-05-16,1.0149898430368964,0.9389527162509752
2025-05-19,1.0129525806828106,0.9266628182375359
2025-05-20,1.0112978406740254,0.9282283275673557
2025-05-21,0.9994901022928306,0.9070691367674008
2025-05-22,1.0030987935198978,0.9176541554206197
2025-05-23,1.001273827390855,0.9124040211915485
2025-05-27,1.0175408244262918,0.9579840409329876
2025-05-28,1.0126930937974206,0.9462794314898438
2025-05-29,1.0165165003560208,0.9502074748348514
2025-05-30,1.0139634900491525,0.9307427538667377
2025-06-02,1.0134456182021438,0.9267630941558076
2025-06-03,1.0151295168368588,0.931440867623262
2025-06-04,1.0151726288322198,0.9115037061389349
2025-06-05,0.9983089347223437,0.8317539621283847
2025-06-06,1.002111777915431,0.8534708632986263
2025-06-09,1.0077452617618656,0.8770975127990228
2025-06-10,1.016312841707479,0.9089486297544721
2025-06-11,1.017340303942473,0.9084802625572698
2025-06-12,1.0186069366631785,0.8977012278302084
2025-06-13,1.0147485324329673,0.9041515897833342
2025-06-16,1.017915256037017,0.9139628070223812
2025-06-17,1.0130967757398814,0.8895455127972915
2025-06-18,1.0151523313012387,0.899108563504391
2025-06-20,1.0148156336997045,0.8984482374898293
2025-06-23,1.0276772895423487,0.9463737844094894
2025-06-24,1.0307845477807496,0.9371857849935289
2025-06-25,1.0273127627833296,0.9160574596890455
2025-06-26,1.031078680648972,0.9159542115891074
2025-06-27,1.0306975789590562,0.9141476321054313
2025-06-30,1.0327939541469273,0.9057779471203825
2025-07-01,1.0268541475224107,0.8766618321473114
2025-07-02,1.0327012747738897,0.9043843014227355
2025-07-03,1.0337791268298875,0.9067197214279769
2025-07-07,1.0224610309422324,0.8670811219186536
2025-07-08,1.0232700871637292,0.873740710027065
2025-07-09,1.026968327530406,0.8724390914521076
2025-07-10,1.0327330985829184,0.8981740313569202
2025-07-11,1.0302913091727146,0.9032415131047193
2025-07-14,1.0319356320933715,0.9097909845192323
2025-07-15,1.0267557567859322,0.8976939238080811
2025-07-16,1.032528976277599,0.9177679910475423
2025-07-17,1.0340341250052845,0.9161457225942373
2025-07-18,1.0380131161410742,0.9334997528491622
2025-07-21,1.0400239840082308,0.9322368769512471
