Date,BND,SPY,TSLA
2015-01-02,59.40534591674805,169.6878204345703,14.620667457580566
2015-01-05,59.57789993286133,166.6233367919922,14.005999565124512
2015-01-06,59.750404357910156,165.05389404296875,14.085332870483398
2015-01-07,59.78636169433594,167.1107177734375,14.063332557678223
2015-01-08,59.69291305541992,170.07598876953125,14.041333198547363
2015-01-09,59.79355239868164,168.71316528320312,13.77733325958252
2015-01-12,59.872581481933594,167.3915557861328,13.480667114257812
2015-01-13,59.93012237548828,166.92068481445312,13.616666793823242
2015-01-14,60.06664276123047,165.91297912597656,12.845999717712402
2015-01-15,60.33262634277344,164.39309692382812,12.791333198547363
2015-01-16,60.15293502807617,166.5490264892578,12.871333122253418
2015-01-20,60.08822250366211,166.90419006347656,12.795332908630371
2015-01-21,59.97319412231445,167.74671936035156,13.104666709899902
2015-01-22,59.98759460449219,170.24130249023438,13.441332817077637
2015-01-23,60.181671142578125,169.30789184570312,13.419333457946777
2015-01-26,60.10979080200195,169.70437622070312,13.770000457763672
2015-01-27,60.145729064941406,167.46592712402344,13.732000350952148
2015-01-28,60.36134719848633,165.31820678710938,13.291333198547363
2015-01-29,60.29668426513672,166.84634399414062,13.680000305175781
2015-01-30,60.627315521240234,164.74830627441406,13.573332786560059
2015-02-02,60.55525588989258,166.78857421875,14.062666893005371
2015-02-03,60.36802673339844,169.20050048828125,14.557332992553711
2015-02-04,60.38961410522461,168.55621337890625,14.569999694824219
2015-02-05,60.25993347167969,170.2577667236328,14.732666969299316
2015-02-06,59.87106704711914,169.78695678710938,14.490667343139648
2015-02-09,59.84945297241211,169.0270538330078,14.498666763305664
2015-02-10,59.74143981933594,170.82774353027344,14.419333457946777
2015-02-11,59.74143981933594,170.9268341064453,14.186667442321777
2015-02-12,59.77024841308594,172.5706329345703,13.525333404541016
2015-02-13,59.6334114074707,173.28102111816406,13.584667205810547
2015-02-17,59.39573669433594,173.5535888671875,13.623332977294922
2015-02-18,59.56137466430664,173.57009887695312,13.630666732788086
2015-02-19,59.51095962524414,173.4462127685547,14.11400032043457
2015-02-20,59.525325775146484,174.4870147705078,14.473999977111816
2015-02-23,59.64778137207031,174.4622039794922,13.822667121887207
2015-02-24,59.892696380615234,174.95782470703125,13.607333183288574
2015-02-25,59.95029067993164,174.80911254882812,13.583999633789062
2015-02-26,59.78464126586914,174.60260009765625,13.812666893005371
2015-02-27,59.83505630493164,174.00794982910156,13.555999755859375
2015-03-02,59.641685485839844,175.1064453125,13.155332565307617
2015-03-03,59.56952667236328,174.3878936767578,13.303999900817871
2015-03-04,59.56952667236328,173.6526641845703,13.496000289916992
2015-03-05,59.605587005615234,173.8427276611328,13.375332832336426
2015-03-06,59.25919723510742,171.397705078125,12.925333023071289
2015-03-09,59.33139419555664,172.10809326171875,12.725333213806152
2015-03-10,59.56230545043945,169.3161163330078,12.687999725341797
2015-03-11,59.627220153808594,168.9196319580078,12.916000366210938
2015-03-12,59.67047882080078,171.0673065185547,12.73799991607666
2015-03-13,59.61280059814453,170.0182647705078,12.578666687011719
2015-03-16,59.728248596191406,172.28973388671875,13.046667098999023
2015-03-17,59.77878952026367,171.77772521972656,12.982000350952148
2015-03-18,60.14683532714844,173.8427276611328,13.380666732788086
2015-03-19,59.96639633178711,173.04974365234375,13.043333053588867
2015-03-20,60.125160217285156,174.5771484375,13.20533275604248
2015-03-23,60.15400695800781,174.23704528808594,13.308667182922363
2015-03-24,60.25506591796875,173.2579803466797,13.447999954223633
2015-03-25,60.16122817993164,170.71913146972656,12.953332901000977
2015-03-26,59.96639633178711,170.31260681152344,12.694000244140625
2015-03-27,60.024139404296875,170.70254516601562,12.333333015441895
2015-03-30,60.09628677368164,172.78509521484375,12.704667091369629
2015-03-31,60.16122817993164,171.27499389648438,12.584667205810547
2015-04-01,60.40062713623047,170.66929626464844,12.505999565124512
2015-04-02,60.32106018066406,171.2833251953125,12.733332633972168
2015-04-06,60.371707916259766,172.43655395507812,13.539999961853027
2015-04-07,60.407875061035156,171.98025512695312,13.550000190734863
2015-04-08,60.36445617675781,172.56105041503906,13.844667434692383
2015-04-09,60.2342529296875,173.32432556152344,14.005999565124512
2015-04-10,60.205318450927734,174.2701873779297,14.0600004196167
2015-04-13,60.21977996826172,173.48196411132812,13.985333442687988
2015-04-14,60.32830810546875,173.81390380859375,13.830666542053223
2015-04-15,60.38618850708008,174.59381103515625,13.85533332824707
2015-04-16,60.371707916259766,174.5440216064453,13.779999732971191
2015-04-17,60.47295379638672,172.53611755371094,13.78600025177002
2015-04-20,60.407875061035156,174.11253356933594,13.684666633605957
2015-04-21,60.33548355102539,173.90513610839844,13.96066665649414
2015-04-22,60.1113166809082,174.759765625,14.629332542419434
2015-04-23,60.22708511352539,175.19949340820312,14.573332786560059
2015-04-24,60.32106018066406,175.60604858398438,14.562000274658203
2015-04-27,60.277740478515625,174.87591552734375,15.436667442321777
2015-04-28,60.08963394165039,175.43174743652344,15.36533260345459
2015-04-29,59.90156555175781,174.7099609375,15.49666690826416
2015-04-30,59.96663284301758,172.95932006835938,15.069999694824219
2015-05-01,59.784732818603516,174.8344268798828,15.0686674118042
2015-05-04,59.697811126708984,175.33221435546875,15.36733341217041
2015-05-05,59.603607177734375,173.32432556152344,15.529999732971191
2015-05-06,59.43695831298828,172.61080932617188,15.362000465393066
2015-05-07,59.560123443603516,173.29945373535156,15.786666870117188
2015-05-08,59.71951675415039,175.5811004638672,15.77400016784668
2015-05-11,59.40795135498047,174.74317932128906,15.965999603271484
2015-05-12,59.335487365722656,174.220458984375,16.31599998474121
2015-05-13,59.306495666503906,174.2536163330078,16.211999893188477
2015-05-14,59.422447204589844,176.0706787109375,16.273332595825195
2015-05-15,59.661582946777344,176.2615509033203,16.589332580566406
2015-05-18,59.4442024230957,176.80905151367188,16.583332061767578
2015-05-19,59.313751220703125,176.7510528564453,16.47599983215332
2015-05-20,59.313751220703125,176.62655639648438,16.290000915527344
2015-05-21,59.50217056274414,177.14100646972656,16.374666213989258
2015-05-22,59.46589279174805,176.71786499023438,16.51533317565918
2015-05-26,59.610862731933594,174.81785583496094,16.497333526611328
2015-05-27,59.63981246948242,176.47718811035156,16.495332717895508
2015-05-28,59.64711380004883,176.278076171875,16.76333236694336
2015-05-29,59.668819427490234,175.1829071044922,16.719999313354492
2015-06-01,59.46987533569336,175.53968811035156,16.6299991607666
2015-06-02,59.30287551879883,175.36537170410156,16.55666732788086
2015-06-03,59.041446685791016,175.8300323486328,16.599332809448242
2015-06-04,59.18667984008789,174.34490966796875,16.39466667175293
2015-06-05,58.9543342590332,174.0461883544922,16.609333038330078
2015-06-08,59.026947021484375,172.97586059570312,17.086000442504883
2015-06-09,58.852638244628906,172.950927734375,17.066667556762695
2015-06-10,58.7292594909668,175.02525329589844,16.713333129882812
2015-06-11,59.005157470703125,175.5894775390625,16.76066780090332
2015-06-12,58.961585998535156,174.24534606933594,16.71266746520996
2015-06-15,58.96883010864258,173.4985809326172,16.691999435424805
2015-06-16,59.12136459350586,174.44448852539062,16.874666213989258
2015-06-17,59.14314651489258,174.72654724121094,17.360666275024414
2015-06-18,59.09953689575195,176.5435333251953,17.459333419799805
2015-06-19,59.26655197143555,175.75987243652344,17.500667572021484
