,predicted_mean
2516,403.24702252231754
2517,402.56318504267034
2518,402.49170102008657
2519,402.207280616921
2520,402.38068538614095
2521,402.36162282206084
2522,402.37298219547444
2523,402.36206061354284
2524,402.37246767310756
2525,402.36913282902293
2526,402.3700192409322
2527,402.3693423362037
2528,402.3699043595755
2529,402.369624909851
2530,402.3697155724156
2531,402.369670958951
2532,402.36970389583877
2533,402.36968480120305
2534,402.36969270359515
2535,402.3696893393951
2536,402.36969139254643
2537,402.3696901454072
2538,402.36969074644014
2539,402.36969048390154
2540,402.3696906218108
2541,402.3696905404814
2542,402.3696905831728
2543,402.36969056328724
2544,402.36969057306743
2545,402.3696905676445
2546,402.36969057058616
2547,402.36969056913404
2548,402.3696905698413
2549,402.3696905694692
2550,402.36969056967047
2551,402.36969056956724
2552,402.3696905696183
2553,402.3696905695922
2554,402.36969056960606
2555,402.36969056959884
2556,402.3696905696025
2557,402.36969056960066
2558,402.36969056960163
2559,402.3696905696011
2560,402.3696905696014
2561,402.3696905696013
2562,402.36969056960135
2563,402.3696905696013
2564,402.3696905696013
2565,402.3696905696013
2566,402.3696905696013
2567,402.3696905696013
2568,402.3696905696013
2569,402.3696905696013
2570,402.3696905696013
2571,402.3696905696013
2572,402.3696905696013
2573,402.3696905696013
2574,402.3696905696013
2575,402.3696905696013
2576,402.3696905696013
2577,402.3696905696013
2578,402.3696905696013
2579,402.3696905696013
2580,402.3696905696013
2581,402.3696905696013
2582,402.3696905696013
2583,402.3696905696013
2584,402.3696905696013
2585,402.3696905696013
2586,402.3696905696013
2587,402.3696905696013
2588,402.3696905696013
2589,402.3696905696013
2590,402.3696905696013
2591,402.3696905696013
2592,402.3696905696013
2593,402.3696905696013
2594,402.3696905696013
2595,402.3696905696013
2596,402.3696905696013
2597,402.3696905696013
2598,402.3696905696013
2599,402.3696905696013
2600,402.3696905696013
2601,402.3696905696013
2602,402.3696905696013
2603,402.3696905696013
2604,402.3696905696013
2605,402.3696905696013
2606,402.3696905696013
2607,402.3696905696013
2608,402.3696905696013
2609,402.3696905696013
2610,402.3696905696013
2611,402.3696905696013
2612,402.3696905696013
2613,402.3696905696013
2614,402.3696905696013
2615,402.3696905696013
2616,402.3696905696013
2617,402.3696905696013
2618,402.3696905696013
2619,402.3696905696013
2620,402.3696905696013
2621,402.3696905696013
2622,402.3696905696013
2623,402.3696905696013
2624,402.3696905696013
2625,402.3696905696013
2626,402.3696905696013
2627,402.3696905696013
2628,402.3696905696013
2629,402.3696905696013
2630,402.3696905696013
2631,402.3696905696013
2632,402.3696905696013
2633,402.3696905696013
2634,402.3696905696013
2635,402.3696905696013
2636,402.3696905696013
2637,402.3696905696013
2638,402.3696905696013
2639,402.3696905696013
2640,402.3696905696013
2641,402.3696905696013
2642,402.3696905696013
2643,402.3696905696013
2644,402.3696905696013
2645,402.3696905696013
2646,402.3696905696013
2647,402.3696905696013
2648,402.3696905696013
2649,402.3696905696013
2650,402.3696905696013
2651,402.3696905696013
2652,402.3696905696013
2653,402.3696905696013
2654,402.3696905696013
2655,402.3696905696013
2656,402.3696905696013
2657,402.3696905696013
2658,402.3696905696013
2659,402.3696905696013
2660,402.3696905696013
2661,402.3696905696013
2662,402.3696905696013
2663,402.3696905696013
2664,402.3696905696013
2665,402.3696905696013
2666,402.3696905696013
2667,402.3696905696013
2668,402.3696905696013
2669,402.3696905696013
2670,402.3696905696013
2671,402.3696905696013
2672,402.3696905696013
2673,402.3696905696013
2674,402.3696905696013
2675,402.3696905696013
2676,402.3696905696013
2677,402.3696905696013
2678,402.3696905696013
2679,402.3696905696013
2680,402.3696905696013
2681,402.3696905696013
2682,402.3696905696013
2683,402.3696905696013
2684,402.3696905696013
2685,402.3696905696013
2686,402.3696905696013
2687,402.3696905696013
2688,402.3696905696013
2689,402.3696905696013
2690,402.3696905696013
2691,402.3696905696013
2692,402.3696905696013
2693,402.3696905696013
2694,402.3696905696013
2695,402.3696905696013
