Ticker,Annual Return,Annual Volatility,Sharpe Ratio,VaR 95%
BND,0.019957008086586382,0.0531355037487747,-0.0008090995733640637,-0.004756490686293102
SPY,0.14432017304655823,0.1765464807099818,0.7041781436061741,-0.016650081826905916
TSLA,0.45423888867439727,0.5717745849232521,0.7594581853138578,-0.05166375515284559
