Portfolio,Total Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Maximum Drawdown
Optimized Strategy,0.1625613753408337,0.10817313325754264,0.11101083998551231,0.9744375708864107,-0.10487055169658063
Benchmark 60% SPY / 40% BND,0.1636460524572263,0.1802235624370668,0.39607437024278813,0.4550245508857143,-0.3655083852387472
